elo_diff,form_diff,is_neutral,tournament_weight,avg_goals_diff,defense_diff,is_major_tournament,h2h_home_wins,outcome,date,home_team,away_team
44.5,10,1,0.5,,,0,0,1,2010-05-07,Mexico,Ecuador
16.0,3,0,1.0,,,1,0,0,2010-05-08,Jersey,Guernsey
26.460000000000036,8,1,0.5,-0.19999999999999996,-0.2,0,0,2,2010-05-10,Mexico,Senegal
18.779999999999973,3,0,0.5,1.5,0.5,0,0,2,2010-05-12,Yemen,Malawi
2.240000000000009,0,0,0.5,,,0,0,2,2010-05-13,Germany,Malta
59.23000000000002,5,1,0.5,,,0,0,2,2010-05-13,Mexico,Angola
12.930000000000064,-4,1,0.5,-0.16666666666666674,0.0,0,0,2,2010-05-15,Paraguay,North Korea
44.930000000000064,11,0,0.5,5.0,0.0,0,0,2,2010-05-16,South Korea,Ecuador
39.92000000000007,4,0,0.5,,,0,0,2,2010-05-16,Mexico,Chile
43.950000000000045,5,0,0.5,1.5,0.75,0,0,2,2010-05-16,South Africa,Thailand
-0.9099999999998545,6,0,0.5,-0.19999999999999996,0.0,0,0,0,2010-05-18,Yemen,Oman
0.0,0,0,0.5,1.0,-1.0,0,0,0,2010-05-19,Austria,Croatia
-1.400000000000091,0,0,0.5,0.0,1.0,0,0,2,2010-05-19,Belgium,Bulgaria
12.400000000000091,7,1,1.0,,,1,0,2,2010-05-19,Gabon,Togo
0.0,0,0,1.0,,,1,0,2,2010-05-19,Corsica,Brittany
-18.059999999999945,-8,0,0.5,,,0,0,0,2010-05-20,Aruba,Venezuela
-0.5699999999999363,0,0,1.0,,,1,0,2,2010-05-21,Brittany,Togo
-11.829999999999927,-7,0,1.0,1.0,0.0,1,0,1,2010-05-21,Corsica,Gabon
-15.220000000000027,0,1,0.5,,,0,0,0,2010-05-21,DR Congo,Saudi Arabia
-16.029999999999973,-3,0,0.5,,,0,0,2,2010-05-21,Estonia,Finland
32.74000000000001,3,1,0.5,2.0,1.0,0,0,2,2010-05-22,Turkey,Czech Republic
47.23000000000002,6,0,0.5,,,0,0,2,2010-05-23,Croatia,Wales
76.40000000000009,12,0,0.5,3.0,0.0,0,0,2,2010-05-24,Argentina,Canada
30.519999999999982,4,0,0.5,1.0,2.0,0,0,2,2010-05-24,Australia,New Zealand
-64.22000000000003,-8,0,0.5,,,0,0,2,2010-05-24,England,Mexico
-50.820000000000164,-5,0,0.5,-0.6666666666666667,0.33333333333333326,0,0,0,2010-05-24,Japan,South Korea
18.09999999999991,3,0,0.5,,,0,0,1,2010-05-24,Portugal,Cape Verde
72.70000000000005,9,0,0.5,1.5,1.8,0,0,1,2010-05-24,South Africa,Bulgaria
0.0,0,0,0.5,,,0,0,2,2010-05-25,Ukraine,Lithuania
16.88000000000011,7,1,0.5,0.5,-0.5,0,0,1,2010-05-25,Nigeria,Saudi Arabia
-32.0,-3,0,0.5,,,0,0,0,2010-05-25,Montenegro,Albania
15.210000000000036,3,0,0.5,1.0,-0.5,0,0,0,2010-05-25,United States,Czech Republic
11.660000000000082,-2,1,0.5,-1.0,-1.0,0,0,1,2010-05-25,Greece,North Korea
14.730000000000018,-2,1,0.5,0.6666666666666667,0.33333333333333326,0,0,1,2010-05-25,Georgia,Cameroon
-0.7400000000000091,0,0,0.5,,,0,0,2,2010-05-25,Armenia,Uzbekistan
-32.069999999999936,-4,0,0.5,,,0,0,2,2010-05-25,Republic of Ireland,Paraguay
-47.24000000000001,-6,1,0.5,,,0,0,0,2010-05-26,Northern Ireland,Turkey
-49.75999999999999,-7,1,0.5,1.0,2.0,0,0,2,2010-05-26,Netherlands,Mexico
0.0,0,0,0.5,-2.0,1.0,0,0,2,2010-05-26,France,Costa Rica
0.0,0,0,0.5,,,0,0,2,2010-05-26,Uruguay,Israel
1.0599999999999454,-1,0,0.5,-0.6666666666666667,1.6666666666666667,0,0,2,2010-05-26,Chile,Zambia
15.259999999999991,3,1,0.5,,,0,0,1,2010-05-26,Azerbaijan,Moldova
-45.09999999999991,-6,0,0.5,1.0,0.0,0,0,1,2010-05-26,Estonia,Croatia
32.6099999999999,0,1,0.5,,,0,0,1,2010-05-27,Belarus,Honduras
-17.220000000000027,-3,0,0.5,,,0,0,2,2010-05-27,Denmark,Senegal
38.74000000000001,9,0,0.5,,,0,0,2,2010-05-27,South Africa,Colombia
27.930000000000064,-1,0,0.5,0.19999999999999996,-0.30000000000000004,0,0,2,2010-05-28,Republic of Ireland,Algeria
-0.07999999999992724,-1,1,0.5,,,0,0,2,2010-05-29,Spain,Saudi Arabia
-77.06999999999994,-6,0,0.5,-0.33333333333333326,-2.6666666666666665,0,0,2,2010-05-29,United States,Turkey
32.0,3,0,0.5,,,0,0,2,2010-05-29,Ukraine,Romania
61.76999999999998,10,0,0.5,1.5,1.5,0,0,1,2010-05-29,Venezuela,Canada
14.930000000000064,4,0,0.5,,,0,0,2,2010-05-29,Sweden,Bosnia and Herzegovina
-17.950000000000045,-6,1,0.5,-1.0,0.0,0,0,1,2010-05-29,Slovakia,Cameroon
17.36999999999989,5,0,0.5,,,0,0,2,2010-05-29,Iceland,Andorra
46.52999999999997,3,0,0.5,,,0,0,2,2010-05-29,Norway,Montenegro
-61.86999999999989,-6,1,0.5,,,0,0,2,2010-05-29,New Zealand,Serbia
-14.559999999999945,-2,1,0.5,,,0,0,0,2010-05-29,Moldova,United Arab Emirates
-1.3699999999998909,-2,0,0.5,,,0,0,0,2010-05-29,Hungary,Germany
14.559999999999945,4,1,0.5,,,0,0,0,2010-05-29,Azerbaijan,North Macedonia
61.850000000000136,6,0,0.5,3.0,1.0,0,0,1,2010-05-29,Poland,Finland
-11.059999999999945,0,0,0.5,,,0,0,1,2010-05-30,Tunisia,France
45.62000000000012,8,1,0.5,1.0,1.6,0,0,1,2010-05-30,Nigeria,Colombia
31.50999999999999,5,1,0.5,0.0,0.875,0,0,2,2010-05-30,Mexico,Gambia
-43.0,0,1,0.5,,,0,0,0,2010-05-30,Japan,England
